                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.5175,                 3.8673,                 1.7148,                0.04404,                0.43857,                 0.0952,                0.04078,                 1.9066,                 3.6568,                 1.4153,             0.00011669,             0.00011669,             0.00011669
                      1,                 2.0914,                 3.4304,                 1.5267,                0.04618,                0.51429,                 0.1206,                0.05138,                 2.1743,                 3.5563,                  1.591,             0.00024757,             0.00024757,             0.00024757
                      2,                 1.9586,                 2.9696,                 1.3784,                0.86612,                   0.11,                0.18326,                0.07017,                 2.2461,                   3.23,                 1.5846,             0.00037582,             0.00037582,             0.00037582
                      3,                  1.932,                  2.604,                 1.3304,                0.74589,                   0.28,                 0.2632,                0.08549,                 2.6623,                 2.6743,                  1.786,             0.00050142,             0.00050142,             0.00050142
                      4,                 1.9486,                 2.3467,                    1.3,                0.41627,                0.37399,                0.31646,                0.11431,                 2.5951,                 2.2425,                 1.6099,             0.00062438,             0.00062438,             0.00062438
                      5,                 1.9807,                  2.082,                  1.274,                0.43754,                0.40714,                0.36434,                 0.1032,                 2.7165,                  1.913,                 1.7304,             0.00074471,             0.00074471,             0.00074471
                      6,                 2.0111,                 1.8531,                 1.2827,                 0.4568,                0.49714,                0.49062,                  0.178,                 2.5125,                 1.6741,                 1.6579,             0.00086239,             0.00086239,             0.00086239
                      7,                 2.0043,                 1.6997,                 1.2704,                0.29775,                0.42656,                0.26133,                0.08654,                 2.5903,                 1.8877,                 1.7446,             0.00097743,             0.00097743,             0.00097743
                      8,                 1.9749,                 1.5193,                  1.266,                0.41005,                0.55857,                0.36501,                0.12822,                 2.5528,                 1.6151,                 1.7396,              0.0010898,              0.0010898,              0.0010898
                      9,                 1.8556,                 1.3501,                 1.2451,                0.48353,                   0.53,                0.45635,                0.18119,                 2.3893,                 1.4739,                 1.5873,              0.0011996,              0.0011996,              0.0011996
                     10,                 1.8333,                 1.2928,                 1.2571,                0.54834,                0.50662,                0.42435,                0.14177,                 2.7314,                 1.7702,                 1.6993,              0.0013067,              0.0013067,              0.0013067
                     11,                 1.8561,                 1.2869,                 1.2439,                0.58464,                0.57714,                0.49014,                0.18553,                 2.6446,                 1.4371,                 1.6576,              0.0014112,              0.0014112,              0.0014112
                     12,                 1.7874,                 1.1833,                 1.2263,                0.58173,                0.56286,                0.46745,                0.20251,                 2.4188,                 1.3445,                 1.6315,               0.001469,               0.001469,               0.001469
                     13,                 1.8326,                 1.1597,                 1.2219,                0.46741,                0.62429,                0.49874,                0.21774,                 2.1951,                 1.4833,                 1.4702,               0.001469,               0.001469,               0.001469
                     14,                 1.7663,                 1.1268,                 1.2426,                0.51515,                0.57817,                0.49936,                0.18046,                 2.2992,                 1.5932,                 1.4728,              0.0014525,              0.0014525,              0.0014525
                     15,                  1.736,                 1.0899,                 1.1995,                0.48178,                0.44857,                0.43688,                 0.1778,                 2.3614,                 1.6546,                 1.5029,               0.001436,               0.001436,               0.001436
                     16,                 1.7166,                 1.0622,                  1.207,                0.40741,                0.53009,                0.46834,                0.22286,                    2.2,                 1.4599,                 1.4131,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.6816,                0.99528,                 1.1889,                0.64752,                0.55429,                0.56252,                0.23527,                 2.2342,                 1.2735,                 1.4635,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.7003,                0.98024,                 1.1968,                0.57083,                   0.52,                0.52327,                0.19898,                 2.4838,                 1.3948,                 1.6318,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.6281,                0.98252,                 1.1991,                0.51729,                0.62248,                0.52528,                 0.2341,                 2.3276,                 1.1736,                 1.5502,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.6465,                0.96325,                  1.167,                0.59935,                0.60276,                0.47136,                0.18011,                 2.4378,                 1.2414,                 1.5608,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.5709,                 0.9259,                 1.1542,                0.69521,                0.73429,                0.68487,                0.19697,                 2.4543,                 1.2489,                 1.5347,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.6357,                0.96397,                 1.1565,                0.78179,                0.70473,                0.72658,                0.27567,                 2.1477,                 1.2291,                 1.4066,              0.0013204,              0.0013204,              0.0013204
                     23,                  1.645,                0.96359,                 1.1963,                0.73954,                0.74872,                0.73849,                 0.2979,                 1.9786,                 1.0938,                 1.3818,              0.0013039,              0.0013039,              0.0013039
                     24,                 1.6511,                0.93432,                 1.1731,                0.60555,                0.60514,                0.55547,                0.22793,                 2.3373,                 1.1171,                 1.5898,              0.0012874,              0.0012874,              0.0012874
                     25,                 1.5399,                0.89363,                 1.1402,                0.58034,                0.64857,                0.54943,                 0.2317,                 2.3224,                 1.2274,                 1.5554,              0.0012709,              0.0012709,              0.0012709
