                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  2.679,                 3.9135,                 1.6903,                0.02551,                    0.1,                0.03008,                 0.0131,                 2.2751,                 3.8706,                 1.2231,             0.00011669,             0.00011669,             0.00011669
                      1,                 2.2489,                 3.5795,                 1.4621,                 0.0433,                0.25714,                0.05064,                 0.0126,                  2.702,                 3.6709,                 1.3856,              0.0002253,              0.0002253,              0.0002253
                      2,                 2.1868,                 3.0871,                 1.3423,                0.06176,                0.44143,                0.15125,                0.04516,                  2.777,                 3.4181,                 1.2845,             0.00030749,             0.00030749,             0.00030749
                      3,                 2.1198,                 2.8891,                  1.289,                0.89751,                   0.12,                0.22565,                0.06845,                 2.8784,                  3.037,                 1.2832,             0.00036329,             0.00036329,             0.00036329
                      4,                 2.1492,                 2.5967,                 1.2673,                0.89535,                0.15116,                0.32433,                0.09921,                 2.6421,                 2.6199,                 1.2181,             0.00039268,             0.00039268,             0.00039268
                      5,                 2.0547,                 2.4609,                 1.2107,                0.92144,                   0.28,                 0.3933,                 0.1303,                  2.717,                  2.314,                 1.2535,             0.00039566,             0.00039566,             0.00039566
                      6,                 1.9845,                 2.2567,                 1.1787,                0.82221,                   0.26,                0.31858,                0.09623,                 3.0511,                  2.162,                 1.3627,             0.00037224,             0.00037224,             0.00037224
                      7,                 2.0179,                 2.1144,                 1.1507,                0.33278,                0.25873,                0.32473,                0.10335,                 2.9649,                 2.0518,                  1.343,             0.00032241,             0.00032241,             0.00032241
                      8,                  1.956,                 2.0728,                 1.1643,                 0.4981,                0.27647,                0.37165,                0.11943,                 2.7834,                  2.015,                 1.2919,             0.00024618,             0.00024618,             0.00024618
                      9,                  1.976,                 1.9836,                 1.1664,                0.60814,                0.30605,                0.37814,                0.12344,                 2.7443,                 1.9658,                 1.2816,             0.00014355,             0.00014355,             0.00014355
