                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.5175,                 3.8673,                 1.7148,                0.04404,                0.43857,                 0.0952,                0.04078,                 1.9066,                 3.6568,                 1.4153,             0.00011669,             0.00011669,             0.00011669
                      1,                  2.091,                 3.4304,                 1.5266,                0.04818,                0.53857,                0.12751,                0.05512,                 2.1729,                 3.5483,                 1.5847,             0.00024757,             0.00024757,             0.00024757
                      2,                 1.9593,                 2.9714,                 1.3782,                0.86776,                0.11131,                0.19474,                  0.076,                 2.2476,                 3.2365,                 1.5952,             0.00037582,             0.00037582,             0.00037582
                      3,                 1.9335,                  2.607,                  1.331,                0.74334,                   0.28,                0.27606,                0.09516,                 2.5724,                  2.684,                 1.7219,             0.00050142,             0.00050142,             0.00050142
                      4,                 1.9537,                 2.3503,                 1.3021,                0.39142,                0.42449,                0.37416,                0.13316,                 2.5395,                 2.1726,                 1.5571,             0.00062438,             0.00062438,             0.00062438
                      5,                 1.9837,                 2.0892,                 1.2762,                0.41424,                0.47572,                0.38709,                0.11829,                  2.744,                 1.8575,                 1.7377,             0.00074471,             0.00074471,             0.00074471
                      6,                 2.0051,                 1.8531,                 1.2844,                0.88095,                   0.45,                0.47698,                0.16286,                 2.5366,                 1.6904,                 1.6594,             0.00086239,             0.00086239,             0.00086239
                      7,                 1.9934,                    1.7,                  1.262,                0.33357,                0.53286,                0.28142,                0.09685,                 2.5719,                 1.7942,                 1.7227,             0.00097743,             0.00097743,             0.00097743
                      8,                 1.9991,                 1.5233,                 1.2696,                 0.4334,                0.46286,                0.32721,                0.11712,                  2.535,                 1.6813,                 1.7596,              0.0010898,              0.0010898,              0.0010898
                      9,                 1.8637,                 1.3596,                 1.2443,                0.58798,                 0.5851,                 0.4914,                0.18958,                 2.3857,                 1.4417,                 1.6217,              0.0011996,              0.0011996,              0.0011996
